hkanji	jis
弓	355D
吸	355B
泣	3563
供	3621
胸	363B
郷	363F
勤	3650
筋	365A
系	374F
径	3742
敬	3749
警	3759
劇	3760
穴	376A
兼	3773
権	3822
憲	377B
源	383B
厳	3837
己	384A
呼	3846
誤	386D
后	3921
好	3925
孝	3927
皇	3944
紅	3948
降	395F
鋼	395D
刻	396F
穀	3972
骨	397C
困	3A24
砂	3A3D
座	3A42
済	3A51
裁	3A5B
策	3A76
冊	3A7D
至	3B6A
私	3B64
姿	3B51
視	3B6B
詞	3B6C
誌	3B6F
磁	3C27
射	3C4D
捨	3C4E
尺	3C5C
釈	3C61
若	3C63
需	3C7B
樹	3C79
宗	3D21
就	3D22
従	3D3E
縦	3D44
縮	3D4C
熟	3D4F
純	3D63
処	3D68
署	3D70
諸	3D74
将	3E2D
笑	3E50
傷	3D7D
障	3E63
城	3E6B
蒸	3E78
針	3F4B
仁	3F4E
垂	3F62
推	3F64
寸	4023
是	4027
聖	403B
誠	403F
宣	406B
専	406C
泉	4074
洗	4076
染	4077
奏	4155
窓	416B
創	414F
層	4158
操	4160
蔵	4222
臓	4221
俗	422F
存	4238
尊	423A
宅	4270
担	4334
探	4335
段	434A
暖	4348
値	434D
仲	4367
宙	4368
忠	4369
著	4378
庁	4423
兆	437B
頂	443A
潮	442C
賃	4442
痛	444B
展	4538
討	4624
党	455E
糖	457C
届	464F
難	4671
弐	4675
乳	467D
認	4727
納	473C
脳	473E
派	4749
拝	4752
背	4758
肺	4759
俳	4750
班	4849
晩	4855
否	485D
批	4863
秘	486B
腹	4A22
奮	4A33
陛	4A45
閉	4A44
片	4A52
補	4A64
宝	4A75
訪	4B2C
亡	4B34
忘	4B3A
棒	4B40
枚	4B67
幕	4B6B
密	4C29
盟	4C41
模	4C4F
矢	4C70
訳	4C75
郵	4D39
優	4D25
幼	4D44
羊	4D53
欲	4D5F
翌	4D62
乱	4D70
卵	4D71
覧	4D77
裏	4E22
律	4E27
臨	4E57
朗	4F2F
論	4F40
亜	3021
哀	3025
握	302E
扱	3037
依	304D
威	3052
為	3059
尉	3053
偉	304E
違	3063
維	305D
慰	3056
緯	305E
逸	306F
芋	3072
姻	3079
陰	3122
隠	3123
韻	3124
詠	3153
影	3146
鋭	3154
疫	3156
悦	3159
越	315B
謁	315A
閲	315C
炎	316A
宴	3163
援	3167
煙	316C
猿	316E
鉛	3174
縁	316F
汚	3178
凹	317A
押	3221
欧	3224
殴	3225
桜	3A79
翁	3227
奥	317C
憶	3231
虞	3673
乙	3235
卸	3237
穏	323A
佳	3242
架	324D
華	325A
菓	325B
渦	3132
嫁	3247
暇	324B
禍	3252
靴	3724
寡	3249
箇	3255
稼	3254
蚊	3263
雅	326D
餓	326E
介	3270
戒	327C
怪	3278
拐	327D
悔	3279
皆	3327
塊	3274
壊	3275
懐	327B
劾	332F
涯	3336
慨	3334
該	333A
概	3335
垣	3340
核	334B
殻	334C
郭	3354
較	3353
隔	3356
獲	334D
嚇	3345
穫	334F
岳	3359
掛	335D
潟	3363
括	3367
喝	3365
渇	3369
滑	336A
褐	336C
轄	336D
且	336E
刈	3422
甘	3445
汗	3440
缶	344C
肝	344E
冠	3427
陥	3459
乾	3425
勘	342A
患	3435
貫	3453
喚	342D
堪	342E
換	3439
敢	343A
棺	343D
款	343E
閑	3457
寛	3432
監	3446
緩	344B
憾	3438
還	3454
環	3444
艦	344F
鑑	3455
含	345E
頑	3468
企	346B
岐	3474
忌	3477
奇	3471
祈	3527
軌	3530
既	347B
飢	3532
鬼	3534
幾	3476
棋	347D
棄	347E
輝	3531
騎	3533
宜	3539
偽	3536
欺	353D
儀	3537
戯	353A
擬	353C
犠	353E
菊	3546
吉	3548
喫	354A
詰	354D
却	3551
脚	3553
虐	3554
及	355A
丘	3556
汲	3560
糾	356A
窮	3567
巨	3570
拒	3571
拠	3572
虚	3575
距	3577
御	3866
凶	3627
叫	362B
狂	3638
享	357D
況	3637
峡	362E
挟	3634
狭	3639
恐	3632
恭	3633
脅	363C
矯	363A
響	3641
驚	3643
仰	3644
暁	3647
凝	3645
斤	3654
菌	365D
琴	3657
緊	365B
謹	3660
襟	365F
吟	3663
駆	366E
愚	3672
偶	3676
遇	3678
隅	3679
屈	367E
掘	3721
繰	372B
勲	372E
薫	3730
刑	373A
茎	3754
契	3740
恵	3743
啓	373C
掲	3747
渓	374C
蛍	3756
傾	3739
携	3748
継	3751
慶	3744
憩	3746
鶏	375C
迎	375E
鯨	375F
撃	3762
激	3763
傑	3766
肩	382A
倹	3770
剣	3775
軒	382E
圏	3777
堅	3778
嫌	3779
献	3825
遣	382F
賢	382D
謙	382C
繭	4B7A
顕	3832
懸	377C
幻	3838
玄	383C
弦	3839
孤	3849
弧	384C
枯	384F
雇	385B
誇	3858
鼓	385D
顧	385C
互	385F
呉	3862
娯	3864
悟	3867
碁	386B
孔	3926
巧	392A
甲	3943
江	393E
坑	3923
抗	3933
攻	3936
更	3939
拘	3934
肯	394E
恒	3931
洪	393F
荒	3953
郊	3959
香	3961
